age,income,gender_male,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,education_College graduate or above,education_High school graduate/GED or equivalent,education_Less than 9th grade,education_Some college or AA degree,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days
32,5.0,1,0,0,0,0,1,1,0,0,0,0,0,21,14,0,5
43,2.32,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
64,2.38,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
80,2.36,0,0,1,0,0,0,1,0,0,0,0,1,2,2,0,0
59,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4.64,1,0,0,1,0,0,1,0,0,0,0,0,7,1,15,10
48,0.88,0,0,1,0,0,0,0,0,0,0,0,0,3,3,7,8
68,5.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
48,1.72,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0
58,1.08,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,8
41,0.12,0,0,0,0,0,0,0,1,0,0,0,0,9,9,0,38
39,5.0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,4,0
58,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,3.18,0,0,0,0,0,1,0,0,0,1,0,0,2,2,1,8
31,4.19,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0
68,1.1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
59,5.0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0
66,0.74,1,0,1,0,0,0,0,0,0,0,0,1,7,7,4,6
50,2.47,1,0,0,1,0,0,0,1,0,0,0,1,15,10,0,0
55,3.79,1,0,1,0,0,0,0,0,0,1,0,0,8,4,20,3
73,2.83,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2
27,5.0,1,1,0,0,0,0,0,0,0,1,0,0,6,4,0,2
47,2.55,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
20,5.0,0,1,0,0,0,0,0,0,0,1,1,0,5,0,4,0
45,0.95,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
80,1.46,0,0,0,1,0,0,0,1,0,0,0,0,4,1,1,1
63,1.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,5.0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,5
25,1.59,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0
56,4.93,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0
52,1.52,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1
29,0.73,0,0,1,0,0,0,1,0,0,0,1,0,9,9,0,2
20,1.99,0,0,0,1,0,0,0,1,0,0,1,0,2,2,0,4
62,1.88,0,0,0,1,0,0,0,0,0,1,0,1,2,1,20,0
22,2.79,0,0,0,1,0,0,0,1,0,0,0,0,2,2,3,1
23,0.99,0,0,0,0,1,0,0,1,0,0,0,0,4,4,0,0
42,5.0,1,0,0,0,0,0,1,0,0,0,0,0,6,2,10,2
27,1.09,0,0,1,0,0,0,0,1,0,0,1,0,3,0,2,0
61,0.0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,0
35,0.59,0,0,1,0,0,0,1,0,0,0,1,0,4,1,10,4
27,1.44,0,0,0,1,0,0,0,1,0,0,1,0,4,0,0,0
50,1.92,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8
58,4.14,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
28,0.82,1,0,0,1,0,0,0,1,0,0,1,0,7,7,0,10
44,3.49,0,0,0,0,0,1,0,0,0,1,0,0,6,5,14,0
62,2.77,0,0,0,0,1,0,1,0,0,0,0,1,4,2,0,3
37,3.6,1,0,1,0,0,0,0,0,0,1,0,1,12,8,10,0
70,2.0,1,0,0,0,1,0,0,0,0,1,0,0,4,3,1,0
69,5.0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,8,0
38,5.0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,6,4
61,2.32,1,0,0,0,1,0,0,0,0,1,0,1,10,0,5,2
40,3.25,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
65,5.0,1,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0
60,3.18,1,0,0,1,0,0,1,0,0,0,0,1,5,2,0,0
25,1.2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,1
41,1.67,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2
59,2.37,1,0,1,0,0,0,0,0,0,1,0,0,14,10,0,0
41,4.63,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
