age,income,gender_male,education,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days,num_home_cook
0.9,0.696,1,0.75,0,0,1,0,0,0,1,0.23809523809523808,0.09523809523809523,0.0,0.022222222222222223,0.6444444444444445
0.016666666666666666,0.192,1,0.5,0,1,0,0,0,1,0,0.19047619047619047,0.19047619047619047,0.13333333333333333,0.03333333333333333,0.4523809523809525
0.03333333333333333,0.48,0,0.75,1,0,0,0,0,0,0,0.19047619047619047,0.14285714285714285,0.044444444444444446,0.03333333333333333,0.5888888888888889
0.6166666666666667,0.9279999999999999,1,0.5,0,0,1,0,0,0,0,0.3333333333333333,0.14285714285714285,0.022222222222222223,0.0,0.5015873015873016
1.0,0.576,0,0.5,0,0,1,0,0,0,1,0.047619047619047616,0.047619047619047616,0.0,0.06666666666666667,0.838095238095238
0.26666666666666666,0.608,0,0.75,0,0,0,0,0,0,0,0.23809523809523808,0.14285714285714285,0.0,0.011111111111111112,0.6079365079365079
1.0,0.182,1,0.75,0,0,1,0,0,0,1,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048
0.48333333333333334,1.0,1,0.75,0,0,1,0,0,0,0,0.19047619047619047,0.09523809523809523,0.011111111111111112,0.0,0.7031746031746032
0.2,0.18,0,0.75,0,1,0,0,0,0,0,0.09523809523809523,0.09523809523809523,0.05555555555555555,0.022222222222222223,0.7317460317460318
0.9666666666666667,0.52,0,0.5,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0
0.13333333333333333,0.132,0,0.75,0,0,0,0,1,1,0,0.14285714285714285,0.09523809523809523,0.0,0.044444444444444446,0.7174603174603175
0.5833333333333334,1.0,0,1.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.36666666666666664,0.21200000000000002,0,0.75,0,0,1,0,0,0,0,0.14285714285714285,0.09523809523809523,0.0,0.0,0.7619047619047619
0.31666666666666665,0.44400000000000006,0,0.25,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.38333333333333336,0.20400000000000001,1,0.5,0,0,1,0,0,0,0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.9,1.0,0,0.25,0,0,1,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
0.85,0.73,1,0.5,0,0,1,0,0,0,0,0.0,0.0,0.022222222222222223,0.0,0.9777777777777777
0.8,0.098,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
